,model,R2,Pearson_r,RMSE,MAE,n_imputed,missingness_prop,dataset,missingness
21,missforest,0.4566947897968046,0.6114508907935923,0.1988899238957616,0.1316584661010312,269.8989898989899,0.3,arcene,mcar
22,mean,-0.0055398099070351,,0.2640966487925548,0.1941622755759909,269.8989898989899,0.3,arcene,mcar
23,softimpute,0.2538086128078125,0.4603332165727035,0.2362377228775253,0.1309020529634163,269.8989898989899,0.3,arcene,mcar
24,softimpute,0.2278989005543177,0.452942137281647,0.2444889068960175,0.135696649462721,359.44444444444446,0.4,arcene,mcar
25,factorization,0.4428994077105569,0.5807869370292991,0.2105741525794492,0.109689622833133,359.44444444444446,0.4,arcene,mcar
26,mean,-0.0050537823055215,,0.267742793992927,0.1951317936338444,359.44444444444446,0.4,arcene,mcar
27,mice,0.4425058225827678,0.5725250073834014,0.200592052409494,0.1367220827842338,359.44444444444446,0.4,arcene,mcar
28,knn,0.3852105340250782,0.5622716068288045,0.2196621612185789,0.1373601699762038,359.44444444444446,0.4,arcene,mcar
29,median,-0.1710853359106941,,0.2889035568521877,0.1527767185708299,359.44444444444446,0.4,arcene,mcar
30,missforest,0.4256618324477777,0.5986067956091947,0.2228364891200067,0.1450348653264716,359.44444444444446,0.4,arcene,mcar
31,sudoku,0.4179806731212736,0.5813848526134123,0.2184704613356893,0.1408159469108669,359.44444444444446,0.4,arcene,mcar
32,median,-0.1718775036091968,,0.2930603486926535,0.1565176908555241,449.1313131313131,0.5,arcene,mcar
33,mean,-0.0041571193422677,,0.270336905048493,0.1959967675202873,449.1313131313131,0.5,arcene,mcar
34,missforest,0.372876178227207,0.5810196841426812,0.245677059913088,0.1529614409763603,449.1313131313131,0.5,arcene,mcar
35,softimpute,0.1898347649622181,0.4375650803619287,0.2533552697359272,0.1422716759807279,449.1313131313131,0.5,arcene,mcar
36,factorization,0.3867570617692906,0.5518496108314542,0.2246903294917469,0.119795499862733,449.1313131313131,0.5,arcene,mcar
37,knn,0.3433771606775109,0.5311836916200492,0.2320169320451167,0.1419808705304977,449.1313131313131,0.5,arcene,mcar
