,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0047,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7376,betweenness,centrality,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0037,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7558,betweenness,centrality,0.08,,,1.0,1.0,LinearRegression,1
HP0005,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.8128,degree,centrality,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0075,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7001,eigenvector,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0042,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.8005,betweenness,centrality,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0091,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.9652,eigenvector,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0065,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,53.9937,betweenness,utility,0.15,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0038,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.677,betweenness,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0063,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,53.1191,betweenness,utility,0.15,,,1.5,0.5,LinearRegression,1
HP0025,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.6431,degree,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0055,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,51.9828,betweenness,utility,0.08,,,1.0,1.0,LinearRegression,1
HP0039,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7019,betweenness,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0003,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7001,degree,centrality,0.08,,,1.5,0.5,LinearRegression,1
HP0041,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7873,betweenness,centrality,0.08,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0084,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7325,eigenvector,centrality,0.15,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0006,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.6621,degree,centrality,0.08,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0076,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7858,eigenvector,centrality,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0028,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,54.1515,degree,utility,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0058,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,52.3891,betweenness,utility,0.08,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0044,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7092,betweenness,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0082,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7177,eigenvector,centrality,0.15,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0021,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.4344,degree,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0079,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7589,eigenvector,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0009,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7617,degree,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0002,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.7594,degree,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0081,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,2.71,eigenvector,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0097,0.0072880641618172995,0.002639094761957351,-0.060697623087109055,,50.9813,eigenvector,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0035,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,64.5394,degree,utility,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0107,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,55.6652,eigenvector,utility,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0071,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,56.2786,betweenness,utility,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0104,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,56.4883,eigenvector,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0068,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,58.1114,betweenness,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0032,0.01400429735500207,0.0028070416078176097,-10.62423099923136,0.07819164232194332,58.8314,degree,utility,0.25,,,0.5,1.5,LinearRegression,1
HP0034,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,62.6373,degree,utility,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0072,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,57.7729,betweenness,utility,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0033,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,59.5954,degree,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0067,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,57.2483,betweenness,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0105,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,55.9921,eigenvector,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0106,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,55.8278,eigenvector,utility,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0108,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,55.071,eigenvector,utility,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0069,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,57.2779,betweenness,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0103,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,57.2288,eigenvector,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0036,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,56.5556,degree,utility,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0070,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,56.8191,betweenness,utility,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0031,0.014043074460464591,0.0028288908688770035,-10.62443034451094,0.07790768833053625,60.5166,degree,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0050,0.014175055238153733,0.0027646704911544868,-1.994461828243866,0.00255994098067854,7.2976,betweenness,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0014,0.014176695052594841,0.0027707680559077405,-1.9940204577567362,0.00046663805669588016,7.3026,degree,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0013,0.014217641507902022,0.002795292673563529,-1.9940204577567362,0.0007700180354685374,7.0454,degree,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0015,0.014217641507902022,0.002795292673563529,-1.9940204577567362,0.0007700180354685374,7.7953,degree,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0053,0.01502793395767655,0.0027476903501008495,-10.84686241242318,0.009948593320157954,7.1759,betweenness,centrality,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0054,0.015066245305175143,0.0027702469640011203,-10.84686241242318,0.010384655758874652,7.4795,betweenness,centrality,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0052,0.015066245305175143,0.0027702469640011203,-10.84686241242318,0.010384655758874652,7.4355,betweenness,centrality,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0086,0.018530936681800624,0.002858503764452402,-11.381931318942803,-0.0689600388334209,7.2277,eigenvector,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0087,0.018579483178287743,0.0028862715235323977,-11.536504055609804,-0.06880731827770166,7.5917,eigenvector,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0085,0.018579483178287743,0.0028862715235323977,-11.536504055609804,-0.06880731827770166,7.2773,eigenvector,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0017,0.01857981551920394,0.002883426910617544,-11.535390741870144,-0.07702990037683656,7.1959,degree,centrality,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0016,0.0186180227102416,0.002905896962159501,-11.535390741870144,-0.07675885421978852,7.7164,degree,centrality,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0018,0.0186180227102416,0.002905896962159501,-11.535390741870144,-0.07675885421978852,7.5535,degree,centrality,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
HP0051,0.03602818091842774,0.0032527783741101613,-29.850079172091167,-0.094163267189779,7.236,betweenness,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0049,0.038034451625958636,0.0033003417530861473,-34.063890219750775,-0.001271267910022078,7.1702,betweenness,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0089,0.05337884875808505,0.003655980719779373,-40.573898191993386,0.13743236327146843,7.8892,eigenvector,centrality,0.25,p85,0.5940558086322196,0.5,1.5,LinearRegression,1
HP0088,0.05341744997392261,0.003678615201870321,-40.573898191993386,0.137894479537128,7.2745,eigenvector,centrality,0.25,p85,0.523885790127449,1.0,1.0,LinearRegression,1
HP0090,0.05341744997392261,0.003678615201870321,-40.573898191993386,0.137894479537128,7.4977,eigenvector,centrality,0.25,p85,0.4655959235146816,1.5,0.5,LinearRegression,1
