,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0006,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5661,degree,centrality,0.08,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0076,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5752,eigenvector,centrality,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0028,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.0768,degree,utility,0.15,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0038,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5687,betweenness,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0058,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.1084,betweenness,utility,0.08,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0097,0.6752826376149613,0.670638847938276,-9.517581675802072,,11.1918,eigenvector,utility,0.15,,,1.0,1.0,LinearRegression,1
HP0082,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5874,eigenvector,centrality,0.15,p85,0.6470584285612526,1.0,1.0,LinearRegression,1
HP0021,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.3192,degree,utility,0.08,,,1.5,0.5,LinearRegression,1
HP0079,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5943,eigenvector,centrality,0.15,,,1.0,1.0,LinearRegression,1
HP0009,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.6218,degree,centrality,0.15,,,1.5,0.5,LinearRegression,1
HP0002,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5713,degree,centrality,0.08,,,0.5,1.5,LinearRegression,1
HP0044,0.6752826376149613,0.670638847938276,-9.517581675802072,,0.5663,betweenness,centrality,0.15,,,0.5,1.5,LinearRegression,1
HP0065,0.6752826376149613,0.670638847938276,-9.517581675802072,,10.7786,betweenness,utility,0.15,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
HP0054,0.6960219508299618,0.6796417916054612,-6.3339336233422,-0.20292033120334793,1.4033,betweenness,centrality,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0090,0.6960219996467174,0.6797820806772997,-6.291103582734412,0.013503087460154873,1.3469,eigenvector,centrality,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0018,0.6979190075154414,0.6815987778662245,-6.602047293422651,-0.20359709490306047,1.3887,degree,centrality,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0087,0.7006759193570802,0.6843884857769457,-6.405828806595415,-0.1782448194983927,1.2745,eigenvector,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0049,0.7161427400771632,0.7066265853508126,-8.799374959424748,-0.24472786757012316,1.2823,betweenness,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0033,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,11.4382,degree,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0108,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,11.3425,eigenvector,utility,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0015,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,1.2815,degree,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0036,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,11.2571,degree,utility,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0072,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,13.7688,betweenness,utility,0.25,p85,0.5346578643468083,1.5,0.5,LinearRegression,1
HP0105,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,11.3011,eigenvector,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0069,0.7195033397575606,0.7013596946320472,-9.845842456197438,-0.6057375921408408,12.1891,betweenness,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0053,0.7206561423922747,0.7113141102629125,-8.800419168539063,-0.2563154781698129,1.284,betweenness,centrality,0.25,p85,0.7657725751883976,0.5,1.5,LinearRegression,1
