,dataset,missingness_type,missing_rate,method,rmse_mean,rank
172,eeg,mcar,0.5,mice,0.0279293683698071,5.0
173,eeg,mcar,0.5,softimpute,0.1514251128298252,7.0
174,eeg,mcar,0.5,sudoku,0.0080748358748671,2.0
175,eeg,mnar,0.1,factorization,0.7495880286398311,6.0
176,eeg,mnar,0.1,knn,0.6946836540862451,4.0
177,eeg,mnar,0.1,mean,0.6750461036262266,2.0
178,eeg,mnar,0.1,median,0.6752826376149613,3.0
179,eeg,mnar,0.1,mice,0.8046944960250175,7.0
180,eeg,mnar,0.1,softimpute,0.7495344561566588,5.0
181,eeg,mnar,0.1,sudoku,0.0825342985508111,1.0
182,eeg,mnar,0.2,factorization,0.7519659002831051,6.0
183,eeg,mnar,0.2,knn,0.6949902996640022,4.0
184,eeg,mnar,0.2,mean,0.67490862900044,2.0
185,eeg,mnar,0.2,median,0.675144359730221,3.0
186,eeg,mnar,0.2,mice,0.8048650982476998,7.0
187,eeg,mnar,0.2,softimpute,0.7496888117348791,5.0
188,eeg,mnar,0.2,sudoku,0.1649658959098592,1.0
189,eeg,mnar,0.3,factorization,0.7566765544719621,6.0
190,eeg,mnar,0.3,knn,0.6945736447913436,4.0
191,eeg,mnar,0.3,mean,0.6750647460953001,2.0
192,eeg,mnar,0.3,median,0.675300183492134,3.0
193,eeg,mnar,0.3,mice,0.8076090620313908,7.0
194,eeg,mnar,0.3,softimpute,0.7503584751935093,5.0
195,eeg,mnar,0.3,sudoku,0.2480296829386354,1.0
196,eeg,mnar,0.4,factorization,0.7630500093885231,6.0
197,eeg,mnar,0.4,knn,0.6946629292898612,4.0
198,eeg,mnar,0.4,mean,0.6749930221878703,2.0
199,eeg,mnar,0.4,median,0.6752270373870658,3.0
200,eeg,mnar,0.4,mice,0.8071398316374796,7.0
201,eeg,mnar,0.4,softimpute,0.7505907538504957,5.0
202,eeg,mnar,0.4,sudoku,0.673370172968584,1.0
203,eeg,mnar,0.5,factorization,0.7703697346479386,6.0
204,eeg,mnar,0.5,knn,0.6950234103529193,4.0
205,eeg,mnar,0.5,mean,0.6749476828171814,2.0
206,eeg,mnar,0.5,median,0.6751830073860084,3.0
207,eeg,mnar,0.5,mice,0.806361880532215,7.0
