,RMSE,MAE,R2,Pearson_r,runtime_seconds,method,prioritization_mode,partner_proportion,edge_threshold_rule,edge_threshold_value,alpha,beta,model_func,max_rounds
HP0069,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.2304,betweenness,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0103,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.3187,eigenvector,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0072,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.6498,betweenness,utility,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0033,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.5003,degree,utility,0.25,,,1.5,0.5,LinearRegression,1
HP0031,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,48.55,degree,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0071,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.263,betweenness,utility,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0108,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,50.1021,eigenvector,utility,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0106,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.1492,eigenvector,utility,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0067,0.046181322533935525,0.0034190977656870566,-450.3046278738525,0.08553694799945027,49.2565,betweenness,utility,0.25,,,1.0,1.0,LinearRegression,1
HP0051,0.04618739437900677,0.0034237934946191556,-449.99541990588426,0.08017504519824675,6.4341,betweenness,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0053,0.057122249918698374,0.004016201505630633,-525.4006211553801,0.005398513706817382,4.8889,betweenness,centrality,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0054,0.057122249918698374,0.004016201505630633,-525.4006211553801,0.005398513706817382,4.9254,betweenness,centrality,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0052,0.057122249918698374,0.004016201505630633,-525.4006211553801,0.005398513706817382,4.8897,betweenness,centrality,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0089,0.057131594402677885,0.004011759393042798,-525.7729217589231,0.012117490032606648,5.3208,eigenvector,centrality,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0090,0.057131594402677885,0.004011759393042798,-525.7729217589231,0.012117490032606648,5.0241,eigenvector,centrality,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0088,0.057131594402677885,0.004011759393042798,-525.7729217589231,0.012117490032606648,5.0371,eigenvector,centrality,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0018,0.057746457935482214,0.004025731886352531,-537.749690709812,0.009437527914830435,4.8676,degree,centrality,0.25,p85,0.4843196115852834,1.5,0.5,LinearRegression,1
HP0017,0.057746457935482214,0.004025731886352531,-537.749690709812,0.009437527914830435,5.0338,degree,centrality,0.25,p85,0.5974633233186858,0.5,1.5,LinearRegression,1
HP0016,0.057746457935482214,0.004025731886352531,-537.749690709812,0.009437527914830435,4.9507,degree,centrality,0.25,p85,0.5356201225604671,1.0,1.0,LinearRegression,1
HP0014,0.08925392748980378,0.004439080739342265,-1794.6348920430326,0.18596404241889067,6.6277,degree,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0015,0.08925392748980378,0.004439080739342265,-1794.6348920430326,0.18596404241889067,6.3632,degree,centrality,0.25,,,1.5,0.5,LinearRegression,1
HP0013,0.08925392748980378,0.004439080739342265,-1794.6348920430326,0.18596404241889067,6.4067,degree,centrality,0.25,,,1.0,1.0,LinearRegression,1
HP0050,0.08925675541084575,0.004441825980075447,-1794.6349363509896,0.1859508146952158,6.3238,betweenness,centrality,0.25,,,0.5,1.5,LinearRegression,1
HP0049,0.08925705754532283,0.004439797200792839,-1794.931926726541,0.1864489107622084,6.3572,betweenness,centrality,0.25,,,1.0,1.0,LinearRegression,1
